Title,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
General Title,Bored Ape Yacht Club,CryptoPunks,Cool Cats,Meebits,Crypto Kitties,Azuki (n/a),Noundles,Ghozali Everyday,IreneDAO,The Heart Project (n/a)
Aliases/Mispellings,BAYC,CryptoPunk,Cool Cat,Meebit,CryptoKitties,AzukiZen,Noundle,Ghozali (n/a),,Heart Project (n/a)
,Bored Ape,Crypto Punks,,,Kitties (n/a),,,,,
,BoredApeYC,Crypto Punk,,,,,,,,
+ NFT,Bored Ape Yacht Club NFT,CryptoPunks NFT,Cool Cats NFT,Meebits NFT,Crypto Kitties NFT,Azuki NFT,Noundles NFT,Ghozali Everyday NFT,IreneDAO NFT,The Heart Project NFT
,BAYC NFT,CryptoPunk NFT,Cool Cat NFT,Meebit NFT,CryptoKitties NFT,AzukiZen NFT,Noundle NFT,"Ghozali NFT ",,Heart Project NFT
,Bored Ape NFT,Crypto Punks NFT,,,,,,,,
,BoredApeYC NFT,Crypto Punk NFT,,,,,,,,
+ Holder,Bored Ape Yacht Club Holder,CryptoPunks Holder,Cool Cats Holder,Meebits Holder,Crypto Kitties Holder,Azuki Holder,Noundles Holder,Ghozali Everyday Holder,IreneDAO Holder,The Heart Project Holder
,Bored Ape Holder,Crypto Punks Holder,,,,,,,,
,BoredApeYC Holder,Crypto Punk Holder,,,,,,,,
+ Project,Bored Ape Yacht Club Project,CryptoPunks Project,Cool Cats Project,Meebits Project,Crypto Kitties Project,Azuki Project,Noundles Project,Ghozali Everyday Project,IreneDAO Project,
,BAYC Project,CryptoPunk Project,Cool Cat Project,Meebit Project,CryptoKitties Project,AzukiZen Project,Noundle Project,Ghozali Project,,
,Bored Ape Project,Crypto Punks Project,,,,,,,,
,BoredApeYC Project,Crypto Punk Project,,,,,,,,
+ Ape/apeing (into),Ape in Bored Ape,Ape in CryptoPunk,Ape in Cool Cat,Ape in Meebit,Ape in Crypto Kitties,Ape in Azuki,Ape in Noundle,Ape in Ghozali,Ape in Irene,Ape in Heart Project
,Apeing in Bored Ape,Apeing in CryptoPunk,Apeing in Cool Cat,Apeing in Meebit,Apeing in CryptoKitties,Apeing in Azuki,Apeing in Noundle,Apeing in Ghozali,Apeing in Irene,Apeing in Heart Project
Twitter Handle,@BoredApeYC,Punk @LarvaLabs,@CoolCatsNFT,Meeb @LarvaLabs,@CryptoKitties,@AzukiZen,@Noundles,@Ghozali_Ghozalu,@0xIreneDao,@HeartNFTs
Hashtags,#BAYC,#Cryptopunks,#CoolCatsNFT,#Meebits,#Cryptokitties,#AzukiNFT,#Noundles,#GhozaliEveryday,#IreneDAO,#TheHeartProject
,#BoredApe,#Cryptopunk,#CoolCats,,,#AzukiZen,#Noundle,#Ghozali,,#HeartNFT
,#BoredApeYC,,,,,#Azuki #NFT,,,,