Title,Column1,Column2,Column3,Column4,Column5,Column6
General Title,The GFT Shoppe Atari 50th Anniversary Commemorative Collection,PUNKS Comic,Farm Land by Pixels,Cool Monkes Genesis,MetaHero Universe Planet Tokens,Alpha Kongs Club AKC
Aliases/Mispellings,GFT Atari,Punks Comic,,Cool Monke,Planetary DAO Metahero,Alpha Kongs
,Atari (n/a),Punks Comic Issue #2,,,,Alpha Kong
,Atari GFT,,,,,
+ NFT,The GFT Shoppe Atari 50th Anniversary Commemorative Collection NFT,PUNKS Comic NFT,Farm Land by Pixels NFT,Cool Monkes Genesis NFT,MetaHero Universe Planet Tokens NFT,Alpha Kongs Club AKC NFT
,GFT Atari NFT,Punks Comic NFT,,Cool Monke NFT,Planetary DAO Metahero NFT,Alpha Kongs NFT
,Atari NFT,Punks Comic Issue #2 NFT,,,,Alpha Kong NFT
,Atari GFT NFT,,,,,
+ Holder,The GFT Shoppe Atari 50th Anniversary Commemorative Collection Holder,PUNKS Comic Holder,Farm Land by Pixels Holder,Cool Monkes Genesis Holder,MetaHero Universe Planet Tokens Holder,Alpha Kongs Club AKC Holder
,GFT Atari Holder,Punks Comic Holder,,Cool Monke Holder,Planetary DAO Metahero Holder,Alpha Kongs Holder
,Atari Holder,Punks Comic Issue #2 Holder,,,,Alpha Kong Holder
,Atari GFT Holder,,,,,
+ Project,The GFT Shoppe Atari 50th Anniversary Commemorative Collection Project,PUNKS Comic Project,Farm Land by Pixels Project,Cool Monkes Genesis Project,MetaHero Universe Planet Tokens Project,Alpha Kongs Club AKC Project
,GFT Atari Project,Punks Comic Project,,Cool Monke Project,Planetary DAO Metahero Project,Alpha Kongs Project
,Atari Project (n/a),Punks Comic Issue #2 Project,,,,Alpha Kong Project
,Atari GFT Project,,,,,
+ Ape/apeing (into),Ape into GFT Atari,Ape into Punks Comic,Ape into Farm Land by Pixel,Ape into Cool Monke,Ape into Planetary DAO,Ape into Alpha Kong
,"Apeing into GFT Atari ",Apeing into Punks Comic,Apeing into Farm Land by Pixels,Apeing into Cool Monke,Apeing into Planetary DAO,Apeing into Alpha Kong
,,,,,,
Twitter Handle,@Atari (n/a),@punkscomic,@pixels_online (n/a),@CoolMonkes,@MetaHero_ (n/a),@AlphaKongsClub
Hashtags,,,,,,
,,,,,,