Date,Start Time,End Time,The GFT Shoppe Atari 50th Anniversary Commemorative Collection,PUNKS Comic,Farm Land by Pixels,Cool Monkes Genesis,MetaHero Universe Planet Tokens,Alpha Kongs Club AKC
March 4th,2022-03-04 0:00:00,2022-03-04 0:59:59,0.0,4.0,0.0,61.0,0.0,16.0
March 4th,2022-03-04 1:00:00,2022-03-04 1:59:59,0.0,0.0,0.0,38.0,1.0,36.0
March 4th,2022-03-04 2:00:00,2022-03-04 2:59:59,0.0,5.0,0.0,50.0,1.0,3.0
March 4th,2022-03-04 3:00:00,2022-03-04 3:59:59,3.0,16.0,0.0,29.0,1.0,1.0
March 4th,2022-03-04 4:00:00,2022-03-04 4:59:59,1.0,9.0,0.0,72.0,2.0,0.0
March 4th,2022-03-04 5:00:00,2022-03-04 5:59:59,0.0,3.0,0.0,30.0,1.0,1.0
March 4th,2022-03-04 6:00:00,2022-03-04 6:59:59,3.0,6.0,0.0,24.0,1.0,4.0
March 4th,2022-03-04 7:00:00,2022-03-04 7:59:59,3.0,1.0,0.0,169.0,0.0,8.0
March 4th,2022-03-04 8:00:00,2022-03-04 8:59:59,0.0,0.0,0.0,72.0,0.0,9.0
March 4th,2022-03-04 9:00:00,2022-03-04 9:59:59,1.0,15.0,0.0,35.0,0.0,3.0
March 4th,2022-03-04 10:00:00,2022-03-04 10:59:59,5.0,3.0,0.0,28.0,0.0,1.0
March 4th,2022-03-04 11:00:00,2022-03-04 11:59:59,6.0,3.0,0.0,14.0,0.0,1.0
March 4th,2022-03-04 12:00:00,2022-03-04 12:59:59,0.0,7.0,0.0,27.0,2.0,10.0
March 4th,2022-03-04 13:00:00,2022-03-04 13:59:59,0.0,2.0,0.0,19.0,0.0,11.0
March 4th,2022-03-04 14:00:00,2022-03-04 14:59:59,0.0,10.0,0.0,24.0,0.0,4.0
March 4th,2022-03-04 15:00:00,2022-03-04 15:59:59,5.0,10.0,1.0,26.0,0.0,3.0
March 4th,2022-03-04 16:00:00,2022-03-04 16:59:59,1.0,12.0,0.0,181.0,0.0,3.0
March 4th,2022-03-04 17:00:00,2022-03-04 17:59:59,0.0,27.0,0.0,90.0,0.0,12.0
March 4th,2022-03-04 18:00:00,2022-03-04 18:59:59,1.0,4.0,0.0,43.0,0.0,84.0
March 4th,2022-03-04 19:00:00,2022-03-04 19:59:59,1.0,8.0,0.0,47.0,0.0,54.0
March 4th,2022-03-04 20:00:00,2022-03-04 20:59:59,1.0,3.0,0.0,22.0,0.0,13.0
March 4th,2022-03-04 21:00:00,2022-03-04 21:59:59,1.0,7.0,2.0,57.0,0.0,3.0
March 4th,2022-03-04 22:00:00,2022-03-04 22:59:59,0.0,16.0,3.0,161.0,1.0,12.0
March 4th,2022-03-04 23:00:00,2022-03-04 23:59:59,2.0,4.0,1.0,37.0,0.0,7.0
March 5th,2022-03-05 0:00:00,2022-03-05 0:59:59,0.0,3.0,1.0,30.0,0.0,12.0
March 5th,2022-03-05 1:00:00,2022-03-05 1:59:59,1.0,84.0,0.0,15.0,1.0,10.0
March 5th,2022-03-05 2:00:00,2022-03-05 2:59:59,0.0,66.0,0.0,79.0,1.0,5.0
March 5th,2022-03-05 3:00:00,2022-03-05 3:59:59,3.0,55.0,0.0,34.0,0.0,7.0
March 5th,2022-03-05 4:00:00,2022-03-05 4:59:59,1.0,24.0,0.0,36.0,0.0,7.0
March 5th,2022-03-05 5:00:00,2022-03-05 5:59:59,0.0,16.0,0.0,77.0,0.0,6.0
March 5th,2022-03-05 6:00:00,2022-03-05 6:59:59,3.0,19.0,0.0,26.0,0.0,10.0
March 5th,2022-03-05 7:00:00,2022-03-05 7:59:59,0.0,18.0,0.0,30.0,0.0,9.0
March 5th,2022-03-05 8:00:00,2022-03-05 8:59:59,0.0,35.0,0.0,19.0,0.0,3.0
March 5th,2022-03-05 9:00:00,2022-03-05 9:59:59,1.0,11.0,0.0,12.0,0.0,9.0
March 5th,2022-03-05 10:00:00,2022-03-05 10:59:59,10.0,5.0,1.0,15.0,0.0,5.0
March 5th,2022-03-05 11:00:00,2022-03-05 11:59:59,2.0,7.0,0.0,7.0,0.0,0.0
March 5th,2022-03-05 12:00:00,2022-03-05 12:59:59,0.0,18.0,0.0,16.0,0.0,5.0
March 5th,2022-03-05 13:00:00,2022-03-05 13:59:59,0.0,13.0,0.0,20.0,0.0,2.0
March 5th,2022-03-05 14:00:00,2022-03-05 14:59:59,1.0,15.0,0.0,16.0,0.0,1.0
March 5th,2022-03-05 15:00:00,2022-03-05 15:59:59,0.0,3.0,1.0,10.0,0.0,12.0
March 5th,2022-03-05 16:00:00,2022-03-05 16:59:59,14.0,13.0,3.0,7.0,0.0,12.0
March 5th,2022-03-05 17:00:00,2022-03-05 17:59:59,2.0,6.0,1.0,14.0,0.0,2.0
March 5th,2022-03-05 18:00:00,2022-03-05 18:59:59,2.0,16.0,0.0,11.0,0.0,5.0
March 5th,2022-03-05 19:00:00,2022-03-05 19:59:59,2.0,8.0,0.0,19.0,0.0,7.0
March 5th,2022-03-05 20:00:00,2022-03-05 20:59:59,0.0,8.0,0.0,5.0,0.0,2.0
March 5th,2022-03-05 21:00:00,2022-03-05 21:59:59,0.0,8.0,0.0,84.0,0.0,1.0
March 5th,2022-03-05 22:00:00,2022-03-05 22:59:59,3.0,5.0,0.0,435.0,0.0,2.0
March 5th,2022-03-05 23:00:00,2022-03-05 23:59:59,2.0,5.0,0.0,511.0,0.0,2.0
March 6th,2022-03-06 0:00:00,2022-03-06 0:59:59,1.0,8.0,0.0,230.0,0.0,3.0
March 6th,2022-03-06 1:00:00,2022-03-06 1:59:59,0.0,7.0,0.0,202.0,0.0,6.0
March 6th,2022-03-06 2:00:00,2022-03-06 2:59:59,5.0,3.0,0.0,135.0,0.0,
March 6th,2022-03-06 3:00:00,2022-03-06 3:59:59,0.0,12.0,0.0,85.0,0.0,1.0
March 6th,2022-03-06 4:00:00,2022-03-06 4:59:59,2.0,8.0,0.0,123.0,0.0,2.0
March 6th,2022-03-06 5:00:00,2022-03-06 5:59:59,0.0,3.0,0.0,257.0,0.0,1.0
March 6th,2022-03-06 6:00:00,2022-03-06 6:59:59,0.0,6.0,0.0,238.0,0.0,5.0
March 6th,2022-03-06 7:00:00,2022-03-06 7:59:59,1.0,0.0,0.0,351.0,0.0,0.0
March 6th,2022-03-06 8:00:00,2022-03-06 8:59:59,0.0,1.0,1.0,288.0,0.0,5.0
March 6th,2022-03-06 9:00:00,2022-03-06 9:59:59,0.0,1.0,0.0,496.0,0.0,3.0
March 6th,2022-03-06 10:00:00,2022-03-06 10:59:59,0.0,4.0,0.0,195.0,0.0,2.0
March 6th,2022-03-06 11:00:00,2022-03-06 11:59:59,2.0,2.0,0.0,97.0,0.0,5.0
March 6th,2022-03-06 12:00:00,2022-03-06 12:59:59,4.0,12.0,0.0,177.0,0.0,5.0
March 6th,2022-03-06 13:00:00,2022-03-06 13:59:59,1.0,8.0,0.0,115.0,0.0,3.0
March 6th,2022-03-06 14:00:00,2022-03-06 14:59:59,1.0,4.0,0.0,364.0,0.0,5.0
March 6th,2022-03-06 15:00:00,2022-03-06 15:59:59,5.0,6.0,0.0,185.0,0.0,1.0
March 6th,2022-03-06 16:00:00,2022-03-06 16:59:59,1.0,2.0,0.0,283.0,0.0,12.0
March 6th,2022-03-06 17:00:00,2022-03-06 17:59:59,4.0,2.0,0.0,91.0,0.0,32.0
March 6th,2022-03-06 18:00:00,2022-03-06 18:59:59,1.0,3.0,0.0,104.0,0.0,11.0
March 6th,2022-03-06 19:00:00,2022-03-06 19:59:59,1.0,4.0,0.0,116.0,0.0,11.0
March 6th,2022-03-06 20:00:00,2022-03-06 20:59:59,0.0,11.0,0.0,99.0,0.0,5.0
March 6th,2022-03-06 21:00:00,2022-03-06 21:59:59,1.0,2.0,0.0,167.0,0.0,5.0
March 6th,2022-03-06 22:00:00,2022-03-06 22:59:59,3.0,17.0,0.0,54.0,0.0,1.0
March 6th,2022-03-06 23:00:00,2022-03-06 23:59:59,2.0,4.0,0.0,86.0,0.0,4.0
March 7th,2022-03-07 0:00:00,2022-03-07 0:59:59,0.0,2.0,0.0,33.0,0.0,7.0
March 7th,2022-03-07 1:00:00,2022-03-07 1:59:59,1.0,8.0,0.0,28.0,0.0,3.0
March 7th,2022-03-07 2:00:00,2022-03-07 2:59:59,2.0,2.0,0.0,61.0,0.0,2.0
March 7th,2022-03-07 3:00:00,2022-03-07 3:59:59,0.0,1.0,0.0,25.0,0.0,1.0
March 7th,2022-03-07 4:00:00,2022-03-07 4:59:59,1.0,4.0,1.0,26.0,0.0,12.0
March 7th,2022-03-07 5:00:00,2022-03-07 5:59:59,1.0,2.0,0.0,26.0,0.0,6.0
March 7th,2022-03-07 6:00:00,2022-03-07 6:59:59,0.0,5.0,0.0,43.0,0.0,2.0
March 7th,2022-03-07 7:00:00,2022-03-07 7:59:59,0.0,5.0,0.0,56.0,0.0,12.0
March 7th,2022-03-07 8:00:00,2022-03-07 8:59:59,2.0,10.0,0.0,21.0,0.0,3.0
March 7th,2022-03-07 9:00:00,2022-03-07 9:59:59,3.0,5.0,1.0,10.0,0.0,22.0
March 7th,2022-03-07 10:00:00,2022-03-07 10:59:59,0.0,11.0,0.0,24.0,0.0,14.0
March 7th,2022-03-07 11:00:00,2022-03-07 11:59:59,3.0,9.0,0.0,20.0,0.0,3.0
March 7th,2022-03-07 12:00:00,2022-03-07 12:59:59,1.0,5.0,0.0,100.0,1.0,10.0
March 7th,2022-03-07 13:00:00,2022-03-07 13:59:59,3.0,13.0,0.0,47.0,1.0,150.0
March 7th,2022-03-07 14:00:00,2022-03-07 14:59:59,1.0,14.0,0.0,39.0,0.0,38.0
March 7th,2022-03-07 15:00:00,2022-03-07 15:59:59,1.0,10.0,0.0,9.0,0.0,33.0
March 7th,2022-03-07 16:00:00,2022-03-07 16:59:59,0.0,9.0,0.0,50.0,0.0,34.0
March 7th,2022-03-07 17:00:00,2022-03-07 17:59:59,1.0,9.0,0.0,38.0,1.0,38.0
March 7th,2022-03-07 18:00:00,2022-03-07 18:59:59,0.0,2.0,0.0,23.0,0.0,22.0
March 7th,2022-03-07 19:00:00,2022-03-07 19:59:59,4.0,4.0,0.0,22.0,0.0,14.0
March 7th,2022-03-07 20:00:00,2022-03-07 20:59:59,1.0,8.0,0.0,23.0,4.0,12.0
March 7th,2022-03-07 21:00:00,2022-03-07 21:59:59,0.0,27.0,0.0,19.0,3.0,6.0
March 7th,2022-03-07 22:00:00,2022-03-07 22:59:59,1.0,29.0,0.0,56.0,4.0,6.0
March 7th,2022-03-07 23:00:00,2022-03-07 23:59:59,0.0,16.0,0.0,179.0,2.0,14.0
March 8th,2022-03-08 0:00:00,2022-03-08 0:59:59,2.0,19.0,0.0,35.0,1.0,11.0
March 8th,2022-03-08 1:00:00,2022-03-08 1:59:59,2.0,21.0,0.0,62.0,4.0,10.0
March 8th,2022-03-08 2:00:00,2022-03-08 2:59:59,0.0,13.0,0.0,28.0,2.0,6.0
March 8th,2022-03-08 3:00:00,2022-03-08 3:59:59,2.0,9.0,0.0,48.0,2.0,8.0
March 8th,2022-03-08 4:00:00,2022-03-08 4:59:59,0.0,11.0,0.0,35.0,1.0,
March 8th,2022-03-08 5:00:00,2022-03-08 5:59:59,4.0,11.0,0.0,18.0,0.0,4.0
March 8th,2022-03-08 6:00:00,2022-03-08 6:59:59,2.0,7.0,0.0,15.0,1.0,5.0
March 8th,2022-03-08 7:00:00,2022-03-08 7:59:59,7.0,5.0,0.0,26.0,6.0,6.0
March 8th,2022-03-08 8:00:00,2022-03-08 8:59:59,0.0,9.0,0.0,4.0,1.0,7.0
March 8th,2022-03-08 9:00:00,2022-03-08 9:59:59,0.0,9.0,0.0,2.0,0.0,11.0
March 8th,2022-03-08 10:00:00,2022-03-08 10:59:59,46.0,8.0,0.0,14.0,1.0,44.0
March 8th,2022-03-08 11:00:00,2022-03-08 11:59:59,15.0,4.0,0.0,8.0,0.0,12.0
March 8th,2022-03-08 12:00:00,2022-03-08 12:59:59,8.0,12.0,1.0,33.0,0.0,39.0
March 8th,2022-03-08 13:00:00,2022-03-08 13:59:59,2.0,13.0,0.0,18.0,1.0,13.0
March 8th,2022-03-08 14:00:00,2022-03-08 14:59:59,1.0,14.0,0.0,42.0,5.0,46.0
March 8th,2022-03-08 15:00:00,2022-03-08 15:59:59,3.0,15.0,0.0,4.0,1.0,71.0
March 8th,2022-03-08 16:00:00,2022-03-08 16:59:59,0.0,22.0,0.0,20.0,5.0,38.0
March 8th,2022-03-08 17:00:00,2022-03-08 17:59:59,0.0,16.0,0.0,14.0,6.0,18.0
March 8th,2022-03-08 18:00:00,2022-03-08 18:59:59,1.0,17.0,0.0,52.0,3.0,17.0
March 8th,2022-03-08 19:00:00,2022-03-08 19:59:59,1.0,7.0,1.0,47.0,0.0,19.0
March 8th,2022-03-08 20:00:00,2022-03-08 20:59:59,5.0,7.0,0.0,37.0,2.0,20.0
March 8th,2022-03-08 21:00:00,2022-03-08 21:59:59,4.0,6.0,0.0,23.0,1.0,5.0
March 8th,2022-03-08 22:00:00,2022-03-08 22:59:59,4.0,3.0,0.0,11.0,0.0,12.0
March 8th,2022-03-08 23:00:00,2022-03-08 23:59:59,4.0,3.0,0.0,10.0,0.0,5.0
March 9th,2022-03-09 0:00:00,2022-03-09 0:59:59,0.0,2.0,0.0,21.0,0.0,4.0
March 9th,2022-03-09 1:00:00,2022-03-09 1:59:59,3.0,8.0,0.0,18.0,0.0,6.0
March 9th,2022-03-09 2:00:00,2022-03-09 2:59:59,1.0,8.0,0.0,35.0,0.0,4.0
March 9th,2022-03-09 3:00:00,2022-03-09 3:59:59,2.0,3.0,0.0,12.0,0.0,3.0
March 9th,2022-03-09 4:00:00,2022-03-09 4:59:59,3.0,46.0,0.0,37.0,0.0,3.0
March 9th,2022-03-09 5:00:00,2022-03-09 5:59:59,1.0,13.0,0.0,54.0,0.0,5.0
March 9th,2022-03-09 6:00:00,2022-03-09 6:59:59,2.0,4.0,0.0,84.0,0.0,8.0
March 9th,2022-03-09 7:00:00,2022-03-09 7:59:59,0.0,10.0,0.0,32.0,0.0,8.0
March 9th,2022-03-09 8:00:00,2022-03-09 8:59:59,2.0,7.0,1.0,89.0,0.0,12.0
March 9th,2022-03-09 9:00:00,2022-03-09 9:59:59,1.0,12.0,0.0,18.0,0.0,8.0
March 9th,2022-03-09 10:00:00,2022-03-09 10:59:59,4.0,21.0,0.0,7.0,0.0,35.0
March 9th,2022-03-09 11:00:00,2022-03-09 11:59:59,8.0,5.0,0.0,10.0,0.0,18.0
March 9th,2022-03-09 12:00:00,2022-03-09 12:59:59,6.0,2.0,0.0,14.0,0.0,8.0
March 9th,2022-03-09 13:00:00,2022-03-09 13:59:59,7.0,9.0,0.0,10.0,0.0,12.0
March 9th,2022-03-09 14:00:00,2022-03-09 14:59:59,6.0,12.0,0.0,21.0,1.0,7.0
March 9th,2022-03-09 15:00:00,2022-03-09 15:59:59,1.0,4.0,0.0,8.0,0.0,12.0
March 9th,2022-03-09 16:00:00,2022-03-09 16:59:59,0.0,13.0,1.0,24.0,0.0,4.0
March 9th,2022-03-09 17:00:00,2022-03-09 17:59:59,0.0,16.0,0.0,15.0,0.0,7.0
March 9th,2022-03-09 18:00:00,2022-03-09 18:59:59,1.0,7.0,0.0,86.0,0.0,4.0
March 9th,2022-03-09 19:00:00,2022-03-09 19:59:59,28.0,5.0,0.0,80.0,0.0,11.0
March 9th,2022-03-09 20:00:00,2022-03-09 20:59:59,2.0,6.0,0.0,36.0,0.0,3.0
March 9th,2022-03-09 21:00:00,2022-03-09 21:59:59,1.0,4.0,0.0,19.0,0.0,5.0
March 9th,2022-03-09 22:00:00,2022-03-09 22:59:59,0.0,2.0,0.0,14.0,0.0,9.0
March 9th,2022-03-09 23:00:00,2022-03-09 23:59:59,3.0,5.0,0.0,38.0,0.0,4.0
March 10th,2022-03-10 0:00:00,2022-03-10 0:59:59,6.0,1.0,0.0,20.0,0.0,3.0
March 10th,2022-03-10 1:00:00,2022-03-10 1:59:59,7.0,3.0,0.0,27.0,0.0,1.0
