Date,Start Time,End Time,Bored Ape Yacht Club,CryptoPunks,Cool Cats,Meebits,Crypto Kitties,Azuki,Noundles,Ghozali Everyday,IreneDAO,The Heart Project
February 2nd,2022-02-02 0:00:00,2022-02-02 0:59:59,,,,,,,,,,
February 2nd,2022-02-02 1:00:00,2022-02-02 1:59:59,,,,,,,,,,
February 2nd,2022-02-02 2:00:00,2022-02-02 2:59:59,,,,,,,,,,
February 2nd,2022-02-02 3:00:00,2022-02-02 3:59:59,,,,,,,,,,
February 2nd,2022-02-02 4:00:00,2022-02-02 4:59:59,,,,,,,,,,
February 2nd,2022-02-02 5:00:00,2022-02-02 5:59:59,,,,,,,,,,
February 2nd,2022-02-02 6:00:00,2022-02-02 6:59:59,,,,,,,,,,
February 2nd,2022-02-02 7:00:00,2022-02-02 7:59:59,,,,,,,,,,
February 2nd,2022-02-02 8:00:00,2022-02-02 8:59:59,,,,,,,,,,
February 2nd,2022-02-02 9:00:00,2022-02-02 9:59:59,,,,,,,,,,
February 2nd,2022-02-02 10:00:00,2022-02-02 10:59:59,,,,,,,,,,
February 2nd,2022-02-02 11:00:00,2022-02-02 11:59:59,,,,,,,,,,
February 2nd,2022-02-02 12:00:00,2022-02-02 12:59:59,,,,,,,,,,
February 2nd,2022-02-02 13:00:00,2022-02-02 13:59:59,,,,,,,,,,
February 2nd,2022-02-02 14:00:00,2022-02-02 14:59:59,,,,,,,,,,
February 2nd,2022-02-02 15:00:00,2022-02-02 15:59:59,,,,,,,,,,
February 2nd,2022-02-02 16:00:00,2022-02-02 16:59:59,,,,,,,,,,
February 2nd,2022-02-02 17:00:00,2022-02-02 17:59:59,,,,,,,,,,
February 2nd,2022-02-02 18:00:00,2022-02-02 18:59:59,,,,,,,,,,
February 2nd,2022-02-02 19:00:00,2022-02-02 19:59:59,,,,,,,,,,
February 2nd,2022-02-02 20:00:00,2022-02-02 20:59:59,,,,,,,,,,
February 2nd,2022-02-02 21:00:00,2022-02-02 21:59:59,,,,,,,,,,
February 2nd,2022-02-02 22:00:00,2022-02-02 22:59:59,,,,,,,,,,
February 2nd,2022-02-02 23:00:00,2022-02-02 23:59:59,,,,,,,,,,
February 3rd,2022-02-03 0:00:00,2022-02-03 0:59:59,,,,,,,,,,
February 3rd,2022-02-03 1:00:00,2022-02-03 1:59:59,,,,,,,,,,
February 3rd,2022-02-03 2:00:00,2022-02-03 2:59:59,,,,,,,,,,
February 3rd,2022-02-03 3:00:00,2022-02-03 3:59:59,,,,,,,,,,
February 3rd,2022-02-03 4:00:00,2022-02-03 4:59:59,,,,,,,,,,
February 3rd,2022-02-03 5:00:00,2022-02-03 5:59:59,,,,,,,,,,
February 3rd,2022-02-03 6:00:00,2022-02-03 6:59:59,,,,,,,,,,
February 3rd,2022-02-03 7:00:00,2022-02-03 7:59:59,,,,,,,,,,
February 3rd,2022-02-03 8:00:00,2022-02-03 8:59:59,,,,,,,,,,
February 3rd,2022-02-03 9:00:00,2022-02-03 9:59:59,,,,,,,,,,
February 3rd,2022-02-03 10:00:00,2022-02-03 10:59:59,,,,,,,,,,
February 3rd,2022-02-03 11:00:00,2022-02-03 11:59:59,,,,,,,,,,
February 3rd,2022-02-03 12:00:00,2022-02-03 12:59:59,,,,,,,,,,
February 3rd,2022-02-03 13:00:00,2022-02-03 13:59:59,,,,,,,,,,
February 3rd,2022-02-03 14:00:00,2022-02-03 14:59:59,,,,,,,,,,
February 3rd,2022-02-03 15:00:00,2022-02-03 15:59:59,,,,,,,,,,
February 3rd,2022-02-03 16:00:00,2022-02-03 16:59:59,,,,,,,,,,
February 3rd,2022-02-03 17:00:00,2022-02-03 17:59:59,,,,,,,,,,
February 3rd,2022-02-03 18:00:00,2022-02-03 18:59:59,,,,,,,,,,
February 3rd,2022-02-03 19:00:00,2022-02-03 19:59:59,,,,,,,,,,
February 3rd,2022-02-03 20:00:00,2022-02-03 20:59:59,,,,,,,,,,
February 3rd,2022-02-03 21:00:00,2022-02-03 21:59:59,,,,,,,,,,
February 3rd,2022-02-03 22:00:00,2022-02-03 22:59:59,,,,,,,,,,
February 3rd,2022-02-03 23:00:00,2022-02-03 23:59:59,,,,,,,,,,
February 4th,2022-02-04 0:00:00,2022-02-04 0:59:59,,,,,,,,,,
February 4th,2022-02-04 1:00:00,2022-02-04 1:59:59,,,,,,,,,,
February 4th,2022-02-04 2:00:00,2022-02-04 2:59:59,,,,,,,,,,
February 4th,2022-02-04 3:00:00,2022-02-04 3:59:59,,,,,,,,,,
February 4th,2022-02-04 4:00:00,2022-02-04 4:59:59,,,,,,,,,,
February 4th,2022-02-04 5:00:00,2022-02-04 5:59:59,,,,,,,,,,
February 4th,2022-02-04 6:00:00,2022-02-04 6:59:59,,,,,,,,,,
February 4th,2022-02-04 7:00:00,2022-02-04 7:59:59,,,,,,,,,,
February 4th,2022-02-04 8:00:00,2022-02-04 8:59:59,,,,,,,,,,
February 4th,2022-02-04 9:00:00,2022-02-04 9:59:59,,,,,,,,,,
February 4th,2022-02-04 10:00:00,2022-02-04 10:59:59,,,,,,,,,,
February 4th,2022-02-04 11:00:00,2022-02-04 11:59:59,,,,,,,,,,
February 4th,2022-02-04 12:00:00,2022-02-04 12:59:59,,,,,,,,,,
February 4th,2022-02-04 13:00:00,2022-02-04 13:59:59,,,,,,,,,,
February 4th,2022-02-04 14:00:00,2022-02-04 14:59:59,,,,,,,,,,
February 4th,2022-02-04 15:00:00,2022-02-04 15:59:59,,,,,,,,,,
February 4th,2022-02-04 16:00:00,2022-02-04 16:59:59,,,,,,,,,,
February 4th,2022-02-04 17:00:00,2022-02-04 17:59:59,,,,,,,,,,
February 4th,2022-02-04 18:00:00,2022-02-04 18:59:59,,,,,,,,,,
February 4th,2022-02-04 19:00:00,2022-02-04 19:59:59,,,,,,,,,,
February 4th,2022-02-04 20:00:00,2022-02-04 20:59:59,,,,,,,,,,
February 4th,2022-02-04 21:00:00,2022-02-04 21:59:59,,,,,,,,,,
February 4th,2022-02-04 22:00:00,2022-02-04 22:59:59,,,,,,,,,,
February 4th,2022-02-04 23:00:00,2022-02-04 23:59:59,,,,,,,,,,
February 5th,2022-02-05 0:00:00,2022-02-05 0:59:59,,,,,,,,,,
February 5th,2022-02-05 1:00:00,2022-02-05 1:59:59,,,,,,,,,,
February 5th,2022-02-05 2:00:00,2022-02-05 2:59:59,,,,,,,,,,
February 5th,2022-02-05 3:00:00,2022-02-05 3:59:59,,,,,,,,,,
February 5th,2022-02-05 4:00:00,2022-02-05 4:59:59,,,,,,,,,,
February 5th,2022-02-05 5:00:00,2022-02-05 5:59:59,,,,,,,,,,
February 5th,2022-02-05 6:00:00,2022-02-05 6:59:59,,,,,,,,,,
February 5th,2022-02-05 7:00:00,2022-02-05 7:59:59,,,,,,,,,,
February 5th,2022-02-05 8:00:00,2022-02-05 8:59:59,,,,,,,,,,
February 5th,2022-02-05 9:00:00,2022-02-05 9:59:59,,,,,,,,,,
February 5th,2022-02-05 10:00:00,2022-02-05 10:59:59,,,,,,,,,,
February 5th,2022-02-05 11:00:00,2022-02-05 11:59:59,,,,,,,,,,
February 5th,2022-02-05 12:00:00,2022-02-05 12:59:59,,,,,,,,,,
February 5th,2022-02-05 13:00:00,2022-02-05 13:59:59,,,,,,,,,,
February 5th,2022-02-05 14:00:00,2022-02-05 14:59:59,,,,,,,,,,
February 5th,2022-02-05 15:00:00,2022-02-05 15:59:59,,,,,,,,,,
February 5th,2022-02-05 16:00:00,2022-02-05 16:59:59,,,,,,,,,,
February 5th,2022-02-05 17:00:00,2022-02-05 17:59:59,,,,,,,,,,
February 5th,2022-02-05 18:00:00,2022-02-05 18:59:59,,,,,,,,,,
February 5th,2022-02-05 19:00:00,2022-02-05 19:59:59,,,,,,,,,,
February 5th,2022-02-05 20:00:00,2022-02-05 20:59:59,,,,,,,,,,
February 5th,2022-02-05 21:00:00,2022-02-05 21:59:59,,,,,,,,,,
February 5th,2022-02-05 22:00:00,2022-02-05 22:59:59,,,,,,,,,,
February 5th,2022-02-05 23:00:00,2022-02-05 23:59:59,,,,,,,,,,
February 6th,2022-02-06 0:00:00,2022-02-06 0:59:59,,,,,,,,,,
February 6th,2022-02-06 1:00:00,2022-02-06 1:59:59,,,,,,,,,,
February 6th,2022-02-06 2:00:00,2022-02-06 2:59:59,,,,,,,,,,
February 6th,2022-02-06 3:00:00,2022-02-06 3:59:59,,,,,,,,,,
February 6th,2022-02-06 4:00:00,2022-02-06 4:59:59,,,,,,,,,,
February 6th,2022-02-06 5:00:00,2022-02-06 5:59:59,,,,,,,,,,
February 6th,2022-02-06 6:00:00,2022-02-06 6:59:59,,,,,,,,,,
February 6th,2022-02-06 7:00:00,2022-02-06 7:59:59,,,,,,,,,,
February 6th,2022-02-06 8:00:00,2022-02-06 8:59:59,,,,,,,,,,
February 6th,2022-02-06 9:00:00,2022-02-06 9:59:59,,,,,,,,,,
February 6th,2022-02-06 10:00:00,2022-02-06 10:59:59,,,,,,,,,,
February 6th,2022-02-06 11:00:00,2022-02-06 11:59:59,,,,,,,,,,
February 6th,2022-02-06 12:00:00,2022-02-06 12:59:59,,,,,,,,,,
February 6th,2022-02-06 13:00:00,2022-02-06 13:59:59,,,,,,,,,,
February 6th,2022-02-06 14:00:00,2022-02-06 14:59:59,,,,,,,,,,
February 6th,2022-02-06 15:00:00,2022-02-06 15:59:59,,,,,,,,,,
February 6th,2022-02-06 16:00:00,2022-02-06 16:59:59,,,,,,,,,,
February 6th,2022-02-06 17:00:00,2022-02-06 17:59:59,,,,,,,,,,
February 6th,2022-02-06 18:00:00,2022-02-06 18:59:59,,,,,,,,,,
February 6th,2022-02-06 19:00:00,2022-02-06 19:59:59,,,,,,,,,,
February 6th,2022-02-06 20:00:00,2022-02-06 20:59:59,,,,,,,,,,
February 6th,2022-02-06 21:00:00,2022-02-06 21:59:59,,,,,,,,,,
February 6th,2022-02-06 22:00:00,2022-02-06 22:59:59,,,,,,,,,,
February 6th,2022-02-06 23:00:00,2022-02-06 23:59:59,,,,,,,,,,
February 7th,2022-02-07 0:00:00,2022-02-07 0:59:59,,,,,,,,,,
February 7th,2022-02-07 1:00:00,2022-02-07 1:59:59,,,,,,,,,,
February 7th,2022-02-07 2:00:00,2022-02-07 2:59:59,,,,,,,,,,
February 7th,2022-02-07 3:00:00,2022-02-07 3:59:59,,,,,,,,,,
February 7th,2022-02-07 4:00:00,2022-02-07 4:59:59,,,,,,,,,,
February 7th,2022-02-07 5:00:00,2022-02-07 5:59:59,,,,,,,,,,
February 7th,2022-02-07 6:00:00,2022-02-07 6:59:59,,,,,,,,,,
February 7th,2022-02-07 7:00:00,2022-02-07 7:59:59,,,,,,,,,,
February 7th,2022-02-07 8:00:00,2022-02-07 8:59:59,,,,,,,,,,
February 7th,2022-02-07 9:00:00,2022-02-07 9:59:59,,,,,,,,,,
February 7th,2022-02-07 10:00:00,2022-02-07 10:59:59,,,,,,,,,,
February 7th,2022-02-07 11:00:00,2022-02-07 11:59:59,,,,,,,,,,
February 7th,2022-02-07 12:00:00,2022-02-07 12:59:59,,,,,,,,,,
February 7th,2022-02-07 13:00:00,2022-02-07 13:59:59,,,,,,,,,,
February 7th,2022-02-07 14:00:00,2022-02-07 14:59:59,,,,,,,,,,
February 7th,2022-02-07 15:00:00,2022-02-07 15:59:59,,,,,,,,,,
February 7th,2022-02-07 16:00:00,2022-02-07 16:59:59,,,,,,,,,,
February 7th,2022-02-07 17:00:00,2022-02-07 17:59:59,,,,,,,,,,
February 7th,2022-02-07 18:00:00,2022-02-07 18:59:59,,,,,,,,,,
February 7th,2022-02-07 19:00:00,2022-02-07 19:59:59,,,,,,,,,,
February 7th,2022-02-07 20:00:00,2022-02-07 20:59:59,,,,,,,,,,
February 7th,2022-02-07 21:00:00,2022-02-07 21:59:59,,,,,,,,,,
February 7th,2022-02-07 22:00:00,2022-02-07 22:59:59,,,,,,,,,,
February 7th,2022-02-07 23:00:00,2022-02-07 23:59:59,,,,,,,,,,
February 8th,2022-02-08 0:00:00,2022-02-08 0:59:59,,,,,,,,,,
February 8th,2022-02-08 1:00:00,2022-02-08 1:59:59,,,,,,,,,,
February 8th,2022-02-08 2:00:00,2022-02-08 2:59:59,,,,,,,,,,
February 8th,2022-02-08 3:00:00,2022-02-08 3:59:59,,,,,,,,,,
February 8th,2022-02-08 4:00:00,2022-02-08 4:59:59,,,,,,,,,,
February 8th,2022-02-08 5:00:00,2022-02-08 5:59:59,,,,,,,,,,
February 8th,2022-02-08 6:00:00,2022-02-08 6:59:59,,,,,,,,,,
February 8th,2022-02-08 7:00:00,2022-02-08 7:59:59,,,,,,,,,,
February 8th,2022-02-08 8:00:00,2022-02-08 8:59:59,,,,,,,,,,
February 8th,2022-02-08 9:00:00,2022-02-08 9:59:59,,,,,,,,,,
February 8th,2022-02-08 10:00:00,2022-02-08 10:59:59,,,,,,,,,,
February 8th,2022-02-08 11:00:00,2022-02-08 11:59:59,,,,,,,,,,
February 8th,2022-02-08 12:00:00,2022-02-08 12:59:59,,,,,,,,,,
February 8th,2022-02-08 13:00:00,2022-02-08 13:59:59,,,,,,,,,,
February 8th,2022-02-08 14:00:00,2022-02-08 14:59:59,,,,,,,,,,
February 8th,2022-02-08 15:00:00,2022-02-08 15:59:59,,,,,,,,,,
February 8th,2022-02-08 16:00:00,2022-02-08 16:59:59,,,,,,,,,,
February 8th,2022-02-08 17:00:00,2022-02-08 17:59:59,,,,,,,,,,
February 8th,2022-02-08 18:00:00,2022-02-08 18:59:59,,,,,,,,,,
